40,3887.78,557.91
41,4093.37,528.68
42,4243.90,464.30
43,4366.47,312.44
44,4521.80,243.78
45,4778.61,228.86
46,4943.68,215.15
48,²ã
2562.71,2559.19
2119.61,2275.65
2,26.09,5015.08
3,43.89,4787.73
4,61.75,4664.39
5,86.81,4587.56
6,140.86,4491.06
7,190.91,4331.37
8,226.47,4158.65
9,263.33,4057.90
10,325.27,3971.95
11,406.22,3848.37
12,473.64,3681.33
13,528.64,3547.27
14,595.88,3456.69
15,690.86,3356.57
16,788.01,3212.21
17,867.49,3060.42
18,943.40,2952.72
19,1042.92,2863.86
20,1160.67,2746.36
21,1266.37,2596.74
22,1356.43,2468.30
23,1457.40,2378.47
24,1584.99,2283.84
25,1715.10,2151.37
26,1824.05,2010.06
27,1927.88,1907.58
28,2056.32,1829.34
29,2205.96,1724.88
30,2338.28,1584.42
31,2450.07,1463.90
32,2574.54,1389.45
33,2733.53,1315.23
34,2892.18,1197.18
35,3020.86,1060.71
36,3139.92,975.52
37,3293.73,925.12
38,3478.70,850.65
39,3633.16,717.90
40,3755.59,604.73
41,3889.66,562.71
42,4089.75,532.20
43,4282.88,448.82
44,4419.49,297.62
45,4537.72,246.96
46,4701.50,232.83
47,4969.33,219.22
49,²ã
2575.48,2575.43
2202.71,2178.78
2,25.96,4917.79
3,43.64,4790.16
4,61.36,4717.99
5,83.30,4630.91
6,132.13,4493.70
7,186.71,4305.90
8,224.46,4188.73
9,258.67,4108.98
10,308.69,4008.14
11,386.45,3855.32
12,462.05,3696.63
13,520.29,3592.29
14,577.15,3506.82
15,656.52,3392.47
16,756.45,3238.82
17,847.53,3100.05
18,922.19,3005.54
19,1001.92,2916.06
20,1107.40,2792.44
21,1224.48,2642.69
22,1326.10,2521.07
23,1414.81,2435.16
24,1516.36,2342.00
25,1644.82,2211.74
26,1774.29,2069.33
27,1882.76,1965.94
28,1984.32,1889.66
29,2108.21,1792.95
30,2256.56,1658.50
31,2393.31,1528.84
32,2506.19,1445.82
33,2621.20,1379.11
34,2768.47,1280.82
35,2933.99,1143.63
36,3073.09,1033.71
37,3188.82,974.58
38,3318.42,920.92
39,3494.93,821.24
40,3671.86,682.76
41,3807.37,600.45
42,3923.73,568.64
43,4071.90,532.41
44,4288.43,428.46
45,4463.17,287.16
46,4592.12,250.45
47,4706.24,236.80
48,4874.67,223.32
50,²ã
2488.12,2488.13
2099.72,2259.93
2,25.86,4914.41
3,43.43,4844.42
4,61.02,4762.25
5,80.96,4644.83
6,124.21,4452.15
7,181.32,4316.95
8,222.22,4239.05
9,255.77,4152.88
10,296.93,4023.71
11,365.51,3855.02
12,446.28,3726.99
13,511.43,3643.03
14,565.42,3552.47
15,629.23,3419.78
16,720.23,3264.21
17,819.59,3144.05
18,903.54,3059.26
19,975.66,2966.69
20,1060.13,2835.09
21,1170.44,2687.03
22,1286.11,2573.93
23,1383.87,2492.46
24,1470.93,2400.12
25,1572.85,2270.39
26,1701.51,2128.85
27,1830.99,2023.82
28,1939.69,1949.11
29,2038.51,1860.53
30,2156.33,1732.73
31,2302.87,1596.43
32,2444.36,1503.07
33,2560.58,1438.83
34,2668.79,1357.43
35,2802.11,1232.29
36,2967.46,1101.52
37,3119.02,1024.36
